
nome_funcionario,id_funcionario,sistema,gerente,email_gerente,status_revisao
Julia Silva,F93810,Google Workspace,maria edna,ednardtecnologia@gmail.com,Pendente
Juliana Costa,F28289,Active Directory,kaique lima,kaiqui82@gmail.com,Pendente
Marcos Pereira,F13905,Salesforce CRM,Kauan Lima,dougla3301@gmail.com,Atrasado
Mateus Barbosa,F36062,GitHub Enterprise,maria edna,ednardtecnologia@gmail.com,Revisado
Gabriel Silva,F87236,AWS Console,kaique lima,kaiqui82@gmail.com,Revisado
Lucas Pereira,F46421,Jira Software,Kauan Lima,dougla3301@gmail.com,Pendente
Julia Gomes,F59797,Jira Software,Kauan Lima,elisacatarina3302@gmail.com,Pendente
Bruna Costa,F70217,GitHub Enterprise,Kauan Lima,dougla3301@gmail.com,Atrasado
Vinícius Lima,F48427,Jira Software,maria edna,ednardtecnologia@gmail.com,Atrasado
Ana Almeida,F19116,Google Workspace,Kauan Lima,dougla3301@gmail.com,Pendente
Fernando Ferreira,F23238,Office 365 Admin,Kauan Lima,elisacatarina3302@gmail.com,Pendente
Larissa Pereira,F58520,Google Workspace,Kauan Lima,dougla3301@gmail.com,Atrasado
Mariana Barbosa,F93227,Salesforce CRM,maria edna,ednardtecnologia@gmail.com,Revisado
Gabriel Barbosa,F59735,Salesforce CRM,Kauan Lima,elisacatarina3302@gmail.com,Pendente
Vinícius Souza,F40021,Jira Software,kaique lima,kaiqui82@gmail.com,Revisado
Pedro Nunes,F18675,Jira Software,maria edna,ednardtecnologia@gmail.com,Atrasado
Fernando Ribeiro,F75435,AWS Console,Kauan Lima,elisacatarina3302@gmail.com,Pendente
Juliana Barbosa,F42325,Google Workspace,kaique lima,kaiqui82@gmail.com,Atrasado
Larissa Almeida,F62350,AWS Console,kaique lima,kaiqui82@gmail.com,Pendente
Jessica Costa,F16175,AWS Console,maria edna,ednardtecnologia@gmail.com,Atrasado
Aline Prado,F65333,GitHub Enterprise,kaique lima,kaiqui82@gmail.com,Atrasado
Ricardo Ferreira,F71348,SAP Financeiro,Kauan Lima,dougla3301@gmail.com,Atrasado
Leonardo Ferreira,F80381,Jira Software,Kauan Lima,dougla3301@gmail.com,Revisado
Mariana Ribeiro,F66985,SAP Financeiro,Kauan Lima,elisacatarina3302@gmail.com,Atrasado
Ricardo Costa,F33416,Google Workspace,maria edna,ednardtecnologia@gmail.com,Pendente
Leonardo Oliveira,F59009,SAP Financeiro,Kauan Lima,elisacatarina3302@gmail.com,Revisado
Julia Gomes,F12552,Google Workspace,maria edna,ednardtecnologia@gmail.com,Pendente
Diego Nunes,F41571,Active Directory,Kauan Lima,dougla3301@gmail.com,Atrasado
Vinícius Prado,F73699,AWS Console,maria edna,ednardtecnologia@gmail.com,Atrasado
Bruna Oliveira,F72296,Google Workspace,kaique lima,kaiqui82@gmail.com,Pendente
Leonardo Pereira,F80686,Google Workspace,kaique lima,kaiqui82@gmail.com,Atrasado
Larissa Ribeiro,F95180,Office 365 Admin,Kauan Lima,dougla3301@gmail.com,Pendente
Marcos Montes,F39451,SAP Financeiro,maria edna,ednardtecnologia@gmail.com,Atrasado
